strategy_id;strategy_name
S2906;laissez-faire
S2907;clear laissez-faire
S2909;permafrost thaw
S2911;high-level
S2912;other high-level
S2913;all-too-real
S2920;purely
S2923;clear
S2925;concern
S2931;xi
S2932;anyone
S2934;serve
S2935;be serve
S2936;govern
S2938;cloud
S2942;unique
S2943;success
S2944;core success
S2948;currently
S2949;democratic
S2955;easy
S2956;military
S2959;afterwards
S2961;defence
S2962;embrace
S2967;case
S2970;await
S2971;notebook
S2972;seventy-eight-year-old
S2973;hundreds
S2974;solicitor
S2975;mainly
S2976;be mainly
S2979;qsr
S2980;rate
S2982;asset
S2983;further asset
S2985;syief
S2986;strong
S2993;gradual
S2994;given gradual
S2995;moreover
S2998;waning
S2999;print
S3002;persistency
S3004;lower
S3006;pbsff
S3007;confrontations
S3008;kid
S3010;peer
S3011;series
S3012;wildly
S3013;recipe
S3014;life
S3016;local
S3019;short
S3020;stop short
S3021;aren
S3022;hear
S3024;commend
S3027;confront
S3028;brutal
S3034;device
S3035;own device
S3039;progress
S3040;fortunately
S3043;month
S3044;only month
S3045;exports
S3047;film be
S3051;embed
S3052;alongside
S3054;film
S3055;explain
S3057;late
S3058;play late
S3061;extraordinary
S3063;choose
S3065;investigate
S3066;car
S3067;be investigate
S3068;pilot
S3070;crash
S3072;crash pilot
S3073;plane crash
S3074;pilot wife
S3075;plane crash pilot
S3076;plane
S3077;small plane
S3078;sister
S3079;shoot sister
S3080;lane
S3082;attack
S3083;passenger
S3084;updated
S3085;bus
S3086;suspend be
S3087;passenger updated
S3088;passenger updated 2015-09-01
S3089;driver
S3090;bus driver
S3092;local high
S3093;visit local high
S3095;inside
S3096;recover
S3098;baby inside
S3100;search
S3101;woman
S3102;custody
S3104;police woman
S3105;suspect custody
S3106;police woman shoot
S3108;volunteers
S3109;shift
S3110;books
S3115;wish give
S3125;invite
S3128;woman be
S3129;notice be
S3130;woman be only
S3133;increase
S3134;speaker be
S3135;woman have
S3136;few speaker be
S3138;reason think
S3139;noble reason think
S3143;front ’
S3144;boy be
S3145;boy be there
S3150;men have
S3155;veteran say
S3156;duty be
S3158;catch
S3161;woman get
S3162;get catch
S3164;backtrack
S3165;opposed
S3167;leader have
S3168;membership do
S3169;many membership do
S3172;minute show
S3174;away
S3178;soldier
S3179;yearbook say
S3180;be away
S3181;break soon
S3182;be away country
S3183;break soon get
S3190;have long
S3191;wa force
S3192;say press
S3193;have long express
S3198;husband get
S3199;suffer
S3200;election suffer
S3205;issue have
S3206;political issue have
S3207;issue have n't
S3211;reveal
S3212;office
S3213;article reveal
S3217;franchise be
S3218;limited franchise be
S3219;franchise be very
S3222;catch be
S3223;many catch be
S3225;hide
S3226;lesser
S3230;have find
S3231;trick give
S3237;leader wa
S3238;way let
S3239;men vote
S3240;fight men vote
S3253;marry
S3255;month be
